strategy,final_levels,information_loss,row_coverage,relative_sum_error,probe_messages,tested_candidates,aggregate_latency_ms,aggregate_rows_sent,aggregate_bytes_sent,seed,k,query_id,n_parties,probe_latency_ms,wall_latency_ms
local_suppression,geo=city;age=age_decade,0.0,0.9994,0.0007272324615770313,0.0,0.0,32.78442400005588,269.0,28417.0,11,3,Q1,4,,
coordinated_rollup,geo=state;age=age_band,0.409090909090909,1.0,0.0,20.0,5.0,62.29862799989405,122.0,13196.0,11,3,Q1,4,149.92918100017505,269.78756500000145
local_suppression,geo=city;product=category,0.0,0.99895,0.0011282613268115988,0.0,0.0,32.55051199994341,285.0,31127.0,11,3,Q2,4,,
coordinated_rollup,geo=state;product=category,0.19999999999999998,1.0,0.0,8.0,2.0,60.03302499993879,180.0,20073.0,11,3,Q2,4,57.29363600005399,182.71134600001915
local_suppression,geo=city;age=age_decade;product=category,0.0,0.97775,0.023750631925265404,0.0,0.0,38.23835999992298,941.0,113753.0,11,3,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,75.29558099986389,80.0,10121.0,11,3,Q3,4,342.4245100002281,484.20271600002707
local_suppression,geo=state;age=age_decade;time=month,0.0,0.9525,0.048135050541944585,0.0,0.0,38.73995099991134,1271.0,153236.0,11,3,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=month,0.34375,1.0,0.0,40.0,10.0,65.50617800007785,192.0,23863.0,11,3,Q4,4,338.0489420003414,463.0996909999112
local_suppression,geo=city;time=month,0.0,0.9921,0.007094201905437426,0.0,0.0,31.305362000011883,602.0,64089.0,11,3,Q5,4,,
coordinated_rollup,geo=city;time=year,0.303030303030303,1.0,0.0,16.0,4.0,50.40373600013481,60.0,6413.0,11,3,Q5,4,102.86162700015211,205.80571899995448
local_suppression,age=age;product=category,0.0,0.9905,0.010166790573459074,0.0,0.0,36.037051999983305,1019.0,101632.0,11,3,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,57.984255999940615,80.0,8841.0,11,3,Q6,4,83.80608599975403,197.7141349999556
local_suppression,geo=city;age=age_decade,0.0,0.99685,0.004062985887969262,0.0,0.0,32.38618500006396,255.0,27018.0,11,5,Q1,4,,
coordinated_rollup,geo=city;age=all_age,0.45454545454545453,1.0,0.0,24.0,6.0,60.30629800011411,60.0,6413.0,11,5,Q1,4,165.72059299994635,279.233406000003
local_suppression,geo=city;product=category,0.0,0.9953,0.004480987588198582,0.0,0.0,32.557504999999765,264.0,28905.0,11,5,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,63.48130799995033,20.0,2313.0,11,5,Q2,4,92.05227099994318,210.2904060000128
local_suppression,geo=city;age=age_decade;product=category,0.0,0.9424,0.056797234711702504,0.0,0.0,38.97256200013999,737.0,89657.0,11,5,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,68.2140569999774,80.0,10121.0,11,5,Q3,4,325.7999830002518,456.7765550000331
local_suppression,geo=state;age=age_decade;time=month,0.0,0.89525,0.10776255463815841,0.0,0.0,51.65122500011421,936.0,113775.0,11,5,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=month,0.34375,1.0,0.0,40.0,10.0,71.354389000021,192.0,23863.0,11,5,Q4,4,340.93488700023045,476.8866860000571
local_suppression,geo=city;time=month,0.0,0.97215,0.027231985376512443,0.0,0.0,33.033830000022135,486.0,52207.0,11,5,Q5,4,,
coordinated_rollup,geo=city;time=year,0.303030303030303,1.0,0.0,16.0,4.0,51.26394500007336,60.0,6413.0,11,5,Q5,4,100.23769699989771,204.09324499996728
local_suppression,age=age;product=category,0.0,0.97235,0.028050866154133026,0.0,0.0,33.2067779999079,916.0,91659.0,11,5,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,64.02129600007811,80.0,8841.0,11,5,Q6,4,81.70179800004007,202.3533240000006
local_suppression,geo=city;age=age_decade,0.0,0.98645,0.013631015160707905,0.0,0.0,35.885881999888625,226.0,24100.0,11,10,Q1,4,,
coordinated_rollup,geo=city;age=all_age,0.45454545454545453,1.0,0.0,24.0,6.0,58.89929500006019,60.0,6413.0,11,10,Q1,4,167.39092399996025,279.7768110000334
local_suppression,geo=city;product=category,0.0,0.97655,0.022439588862078044,0.0,0.0,32.255415000008725,209.0,23091.0,11,10,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,58.33854599984534,20.0,2313.0,11,10,Q2,4,81.95646599995143,194.06695600002877
local_suppression,geo=city;age=age_decade;product=category,0.0,0.86405,0.13339243420729693,0.0,0.0,37.84168399999999,502.0,61673.0,11,10,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,72.3580150000771,80.0,10121.0,11,10,Q3,4,333.60190100017917,472.8824160000613
local_suppression,geo=state;age=age_decade;time=month,0.0,0.78085,0.22330265892582232,0.0,0.0,38.17872600006922,593.0,72947.0,11,10,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=month,0.34375,1.0,0.0,40.0,10.0,64.6051029998489,192.0,23863.0,11,10,Q4,4,316.85979400026554,445.12101099996926
local_suppression,geo=city;time=month,0.0,0.90855,0.09192630979841984,0.0,0.0,28.690986000015073,296.0,32515.0,11,10,Q5,4,,
