seed,k,query_id,mode,success,final_levels,relative_sum_error,tested_candidates,probe_messages,probe_latency_ms,unsupported_replies,unsafe_replies,information_loss,capability_filtered_candidates,orchestration_events_before_release,aggregate_rows_sent,aggregate_bytes_sent,orchestration_events_total
11,5,A1,current_capability_workload,1,geo=state;age=all_age,0.0,4.0,16.0,115.64664999991692,0.0,8.0,0.6363636363636362,7.0,26.0,36.0,3364.0,34.0
11,5,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,59.95310899993456,0.0,2.0,0.39999999999999997,2.0,16.0,20.0,1993.0,24.0
11,5,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,210.40074599977743,0.0,20.0,0.4333333333333333,6.0,36.0,80.0,8841.0,44.0
11,5,A4,current_capability_workload,1,geo=state;time=year,0.0,2.0,8.0,54.82428400000572,0.0,1.0,0.303030303030303,3.0,16.0,36.0,3364.0,24.0
11,10,A1,current_capability_workload,1,geo=state;age=all_age,0.0,4.0,16.0,109.36503999994329,0.0,9.0,0.6363636363636362,7.0,26.0,36.0,3364.0,34.0
11,10,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,55.98889899999904,0.0,4.0,0.39999999999999997,2.0,16.0,20.0,1993.0,24.0
11,10,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,200.95745199989778,0.0,20.0,0.4333333333333333,6.0,36.0,80.0,8841.0,44.0
11,10,A4,current_capability_workload,1,geo=state;time=year,0.0,2.0,8.0,51.31559200003721,0.0,2.0,0.303030303030303,3.0,16.0,36.0,3364.0,24.0
11,20,A1,current_capability_workload,1,geo=state;age=all_age,0.0,4.0,16.0,116.10381899970434,0.0,11.0,0.6363636363636362,7.0,26.0,36.0,3364.0,34.0
11,20,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,54.332859999931316,0.0,4.0,0.39999999999999997,2.0,16.0,20.0,1993.0,24.0
11,20,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,194.70835700030875,0.0,20.0,0.4333333333333333,6.0,36.0,80.0,8841.0,44.0
11,20,A4,current_capability_workload,1,geo=state;time=year,0.0,2.0,8.0,50.88955400015038,0.0,4.0,0.303030303030303,3.0,16.0,36.0,3364.0,24.0
11,10,DRIFT,stored_snapshot,1,,0.0,5.0,20.0,123.96441100020184,3.0,7.0,0.6666666666666666,7.0,26.0,16.0,1532.0,34.0
11,10,DRIFT,current_site_agent_state,1,geo=country;age=age_band,0.0,2.0,8.0,58.77108900006078,0.0,1.0,0.6666666666666666,10.0,16.0,16.0,1532.0,24.0
22,5,A1,current_capability_workload,1,geo=state;age=all_age,0.0,4.0,16.0,113.83749699996315,0.0,9.0,0.6363636363636362,7.0,26.0,36.0,3387.0,34.0
22,5,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,55.463640000084524,0.0,3.0,0.39999999999999997,2.0,16.0,20.0,2007.0,24.0
22,5,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,198.14560100041945,0.0,20.0,0.4333333333333333,6.0,36.0,80.0,8844.0,44.0
22,5,A4,current_capability_workload,1,geo=state;time=year,0.0,2.0,8.0,49.77352400032942,0.0,3.0,0.303030303030303,3.0,16.0,36.0,3387.0,24.0
22,10,A1,current_capability_workload,1,geo=state;age=all_age,0.0,4.0,16.0,120.80170500018994,0.0,11.0,0.6363636363636362,7.0,26.0,36.0,3387.0,34.0
22,10,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,58.557421999921644,0.0,4.0,0.39999999999999997,2.0,16.0,20.0,2007.0,24.0
22,10,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,195.64771799980463,0.0,20.0,0.4333333333333333,6.0,36.0,80.0,8844.0,44.0
22,10,A4,current_capability_workload,1,geo=state;time=year,0.0,2.0,8.0,49.79687299987745,0.0,4.0,0.303030303030303,3.0,16.0,36.0,3387.0,24.0
22,20,A1,current_capability_workload,1,geo=country;age=age_band,0.0,5.0,20.0,140.39132200002769,0.0,12.0,0.6666666666666665,7.0,31.0,16.0,1536.0,39.0
22,20,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,55.30644500015569,0.0,4.0,0.39999999999999997,2.0,16.0,20.0,2007.0,24.0
22,20,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,199.52735699996538,0.0,20.0,0.4333333333333333,6.0,36.0,80.0,8844.0,44.0
22,20,A4,current_capability_workload,1,geo=country;time=quarter,0.0,3.0,12.0,73.15643300000829,0.0,5.0,0.4242424242424242,3.0,21.0,16.0,1588.0,29.0
22,10,DRIFT,stored_snapshot,1,,0.0,5.0,20.0,116.17087500007983,3.0,9.0,0.6666666666666666,7.0,26.0,16.0,1536.0,34.0
22,10,DRIFT,current_site_agent_state,1,geo=country;age=age_band,0.0,2.0,8.0,58.06356400000823,0.0,3.0,0.6666666666666666,10.0,16.0,16.0,1536.0,24.0
33,5,A1,current_capability_workload,1,geo=state;age=all_age,0.0,4.0,16.0,115.92996999968364,0.0,7.0,0.6363636363636362,7.0,26.0,36.0,3395.0,34.0
33,5,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,57.16913599997042,0.0,3.0,0.39999999999999997,2.0,16.0,20.0,2012.0,24.0
33,5,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,194.5876050001516,0.0,18.0,0.4333333333333333,6.0,36.0,80.0,8805.0,44.0
33,5,A4,current_capability_workload,1,geo=state;time=year,0.0,2.0,8.0,49.55598399999417,0.0,1.0,0.303030303030303,3.0,16.0,36.0,3395.0,24.0
33,10,A1,current_capability_workload,1,geo=state;age=all_age,0.0,4.0,16.0,110.25957200047287,0.0,7.0,0.6363636363636362,7.0,26.0,36.0,3395.0,34.0
33,10,A2,current_capability_workload,1,geo=country;product=category,0.0,2.0,8.0,66.92198299992924,0.0,4.0,0.39999999999999997,2.0,16.0,20.0,2012.0,24.0
33,10,A3,current_capability_workload,1,geo=country;age=age_band;product=category,0.0,6.0,24.0,199.00717100006204,0.0,18.0,0.4333333333333333,6.0,36.0,80.0,8805.0,44.0
